id,instruction,input,output,source,topic
1267,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"No, not really.","It doesn't feel like a problem to you right now, yeah.",AnnoMI-derived authentic counseling turn,substance-use counseling
1268,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, it is.","Yeah, okay. Um, and-and so that's a lot going on right now for you? Yeah.",AnnoMI-derived authentic counseling turn,substance-use counseling
1269,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Oh, yeah.","Mm-hmm. So there's your oral health, there's the financial aspect, and then e-earlier you brought up some concerns about smoking cigarettes and how that can be harmful for you.",AnnoMI-derived authentic counseling turn,substance-use counseling
1270,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Just different groups, friends or groups, girlfriends, like different people that I'm hanging out with because certain people are associated with that type of scene.",-or any other things?,AnnoMI-derived authentic counseling turn,substance-use counseling
1271,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-mm.,Don't inject it?,AnnoMI-derived authentic counseling turn,substance-use counseling
1272,Act as a recovery-support counselor and encourage reflection and a realistic next step.,"My family keeps telling me to get help, but I do not know where to start.",Reaching out can be a strong first step. Would you be open to talking with a qualified addiction counselor or healthcare professional about support options that fit your situation? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - professional help
1273,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Right.,Sometimes you forget where you're at.,AnnoMI-derived authentic counseling turn,substance-use counseling
1274,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I mean, I guess right now I would try to stop in high school, and once I get older, maybe just like, socially once in a while, but not anything big or anything.",How might that go?,AnnoMI-derived authentic counseling turn,substance-use counseling
1275,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,Okay. What we talk about is confidential. I only tell your parents about what we say if you give your permission or if I become worried about a danger to-to you or to someone else. Does that make sense?,AnnoMI-derived authentic counseling turn,substance-use counseling
1276,Use motivational interviewing principles to respond to this substance-use concern.,I feel ashamed because I promised myself I would stop.,It sounds like you are carrying a lot of shame. You deserve support rather than judgment. What would be one compassionate and realistic step you could take toward recovery today? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - shame
1277,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"No. I'm not gonna quit smoking. I mean, I like it. It helps me relax. So, I mean, I don't see what the big deal is.","So your workplaces went smoke-free and you're not too pleased, huh?",AnnoMI-derived authentic counseling turn,substance-use counseling
1278,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, it was. If my mom would have found out, she would've killed me.",That must be really scary.,AnnoMI-derived authentic counseling turn,substance-use counseling
1279,Provide a non-judgmental counseling response to a person struggling with drug use.,"My friends use drugs, and it makes staying sober difficult.","That environment can make recovery harder. Which people or places feel safer for you, and how might you create more distance from situations that increase the urge to use? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - social environment
1280,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, my doctor referred me. He said I had to come because I've- I've been a little irresponsible with this pregnancy. Yeah.","Thank you for coming in to see me today, Nina. I'm looking forward to getting to know you a little bit and hearing a little bit about you and what brought you in here today.",AnnoMI-derived authentic counseling turn,substance-use counseling
1281,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,He's a big boy. Yeah.,Charlie.,AnnoMI-derived authentic counseling turn,substance-use counseling
1282,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I have been avoiding people because I am embarrassed about my drug use.,"It sounds like embarrassment has been pushing you away from others. Is there one trusted person you would feel comfortable talking to, even if you are not ready to tell them everything? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - isolation
1283,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,"Okay. So it's, um, so it's good, because you're not drinking and driving, but you're still really drinking a lot. Um, and yeah. Okay. So, let's-let's talk a little bit about that, how you might be able to make some changes. Because I think you really need to- need to stop drinking like this.",AnnoMI-derived authentic counseling turn,substance-use counseling
1284,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little?",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
1285,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I haven't felt well for a while. I'm getting coughing fits even when I'm on the telephone with customers.,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1286,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah just-,"Okay, you're kinda getting pressure from other people who are drinking, and it feels easier for you to-",AnnoMI-derived authentic counseling turn,substance-use counseling
1287,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, doing the math, I guess no more than 18 drinks a week.","Okay, okay. Well, sometimes when people aren't ready to make changes like this, it helps if they write down their goals, it gives them a chance to see them in black and white. If you were to look at this little form here and figure out where you want to go with your drinking, what would you put down as your goal?",AnnoMI-derived authentic counseling turn,substance-use counseling
1288,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yes.,"So, you were able to keep the, uh, the journal?",AnnoMI-derived authentic counseling turn,substance-use counseling
1289,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, and then, I don’t know, try to plan it out a little bit more on the weekends-",Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
1290,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Hmm, for four times a week probably.",All right. How often do you do that?,AnnoMI-derived authentic counseling turn,substance-use counseling
1291,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I mean, the 10 drinks seems like not a lot, uh, for like-for me and like my tolerance.",Okay. Does that concern you at all?,AnnoMI-derived authentic counseling turn,substance-use counseling
1292,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yes.,"Okay. So, it sounds like you have some reasons to cut back on drinking and you have ways to relax besides drinking and it sounds like you're pretty ready to cut back.",AnnoMI-derived authentic counseling turn,substance-use counseling
1293,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, and, like, fi- like filling out, like, how much I'm drinking every day, it was like, whoa, you know-",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1294,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,And Tristan is a good flatmate.,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1295,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Right. Which I barely have any.,It shows you your lung capacity.,AnnoMI-derived authentic counseling turn,substance-use counseling
1296,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"That seems to be like, uh, a false setting up, you know, like, come on.",Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
1297,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Sure.,"So I'm hoping that in your appointment next month, we can touch base on this and see how it's going.",AnnoMI-derived authentic counseling turn,substance-use counseling
1298,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"So, let me make sure I understand kind of the whole scenario 'cause there's a lot of pieces to it. Your wife is on your case and your kids are ganging up too. So, you're sort of isolated, you're put in a corner and you're being told this is something you have to do, you have no choice in the matter.",AnnoMI-derived authentic counseling turn,substance-use counseling
1299,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I'd l- I'd like to stop fighting with my wife. Um-",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1300,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Only a couple of drinks a night. You know, it's pretty rare if I have anything more than that. It's just my way of relaxing at the end of the day. It's been so stressful since Jake came along. It's just how I fall asleep at the end of the night.",And let's talk some more about wine. You keep throwing wine into the conversation. It sounds like it's become a significant part of your daily routine. How much are you drinking?,AnnoMI-derived authentic counseling turn,substance-use counseling
1301,"Give a brief, empathetic counseling response focused on recovery and safety.",I do not think my drug use is as serious as my family thinks.,"It sounds like you and your family see the situation differently. Rather than judging you, I would like to understand your view. What concerns, if any, do you have about your drug use? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - readiness
1302,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"But that's- that's just like a- a social thing. That's something that my friends and I do. We-- We-- It's not habit or something that I have to have and, you know, talking about one or two when we go out for an evening. Not packs of them.","So you've made a decision in your life not to smoke cigarettes, that's something you didn't want to do. It sounds like you're kinda concerned about the health effects of cigarettes. But you have been smoking the little cigarillos at least one or two every time you go out.",AnnoMI-derived authentic counseling turn,substance-use counseling
1303,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm.,"No. Okay. So that's- that's not been an issue for you. Uh, it is an issue for him and not for you at this point.",AnnoMI-derived authentic counseling turn,substance-use counseling
1304,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, exactly. You know, it's kind of like that me time at the end of the day.",It's a nice sort of form of stress relief.,AnnoMI-derived authentic counseling turn,substance-use counseling
1305,Act as a recovery-support counselor and encourage reflection and a realistic next step.,Part of me wants recovery and another part of me still wants to use.,"It is possible to have mixed feelings about recovery. What are the strongest reasons you want to stop, and what do you feel you would be giving up by stopping? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - mixed feelings
1306,Use motivational interviewing principles to respond to this substance-use concern.,I want to rebuild trust with my family after my drug use.,"Rebuilding trust can take time, and your wish to repair those relationships is meaningful. What is one consistent action you could take that would show your family you are working toward recovery? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - family trust
1307,Respond as a supportive addiction counselor using motivational interviewing.,I have been using drugs again and I feel like I am losing control.,Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? Your willingness to talk about this is already a meaningful step. We can work through it gradually.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
1308,Act as a recovery-support counselor and encourage reflection and a realistic next step.,Part of me wants recovery and another part of me still wants to use.,"It is possible to have mixed feelings about recovery. What are the strongest reasons you want to stop, and what do you feel you would be giving up by stopping? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - mixed feelings
1309,Provide a non-judgmental counseling response to a person struggling with drug use.,I have been avoiding people because I am embarrassed about my drug use.,"It sounds like embarrassment has been pushing you away from others. Is there one trusted person you would feel comfortable talking to, even if you are not ready to tell them everything? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - isolation
1310,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, uh, just as, um, a chocoholic craves chocolate-",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1311,Respond as a supportive addiction counselor using motivational interviewing.,I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
1312,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah. It makes me feel relaxed.,"Speaker 1: Okay. You checked the box here that drinking helps you feel relaxed, feel better about yourself or fit in?",AnnoMI-derived authentic counseling turn,substance-use counseling
1313,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I wouldn't get caught with using a pen, so I wouldn't get kicked off the basketball team.",Marijuana affects how well you play. What would be the other benefits for you?,AnnoMI-derived authentic counseling turn,substance-use counseling
1314,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Uh, I don't know.","So, what steps could you take to help you stop using for a month?",AnnoMI-derived authentic counseling turn,substance-use counseling
1315,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,No. We don't do that kind of thing in my family.,"You mentioned at the beginning of our conversation that you have a history of dealing with anxiety, have you ever talked to a counselor about that?",AnnoMI-derived authentic counseling turn,substance-use counseling
1316,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"No. I think just talking about it was helpful, you know, and I'm- I'm glad you've given me some information. Maybe just this week I can think about it a little more, you know, I-I feel pretty overwhelmed right now. There's so much to do. My days are pretty full, so, maybe I can just s-sit on it for a week.","That's okay. All right and, um, I guess we'll see you next week for Jake's six-month checkup. Is there anything else we could talk about that might be helpful?",AnnoMI-derived authentic counseling turn,substance-use counseling
1317,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, and I, you know, I-I have friends who have drank during pregnancy, and-and I see articles on Facebook and-and, you know, things that show that there isn't really a clear link between, you know, abnormalities or, uh, yeah, I just- I just think it's kind of an old wives' tale. So, you know, I'm independent and I'm gonna- I'm gonna do what I want, it's my body.","So it was kind of been a part of your culture a little bit, and you know, just find alcohol, maybe takes the edge off a little bit and-",AnnoMI-derived authentic counseling turn,substance-use counseling
1318,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Probably since last October.,"Okay. So, you drink with friends, sort of three or four beers or mixed drinks, one or two times a month. How long have you been doing that?",AnnoMI-derived authentic counseling turn,substance-use counseling
1319,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, exactly. Mm-hmm. Yeah. Um, and the first thing when I was able to smoke, I didn't care if I smoke my brand or anybody else's brand, I just wanted that cigarette.",You were [unintelligible 00:06:04],AnnoMI-derived authentic counseling turn,substance-use counseling
1320,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"And then she was like, ""Sarah, that's cra-- Like, that is crazy. Why are, you know, like, where are you drinking this?"" And I was- I was like, ""Well, you know, like, different places."" And I-I guess, like, I don't know, my friends didn't, like, know. Anyway, it's, yeah, I don't know.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1321,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah. Sounds good.,Thank you.,AnnoMI-derived authentic counseling turn,substance-use counseling
1322,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Sure.,"And before you leave, uh, is it okay if we go over this screening form that you filled out today on your alcohol use?",AnnoMI-derived authentic counseling turn,substance-use counseling
1323,Respond as a supportive addiction counselor using motivational interviewing.,I have been avoiding people because I am embarrassed about my drug use.,"It sounds like embarrassment has been pushing you away from others. Is there one trusted person you would feel comfortable talking to, even if you are not ready to tell them everything? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - isolation
1324,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Okay. So, you can give it a go and, I think doing managing, you might just learn a little bit about how easy or difficult it's going to be, and-and also what it's like to cope with stress in other ways.",AnnoMI-derived authentic counseling turn,substance-use counseling
1325,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"No, I have drunk-driven and never got in a car with a drunk driver.","Okay. Um, so one of the things that, you know, is really important to talk to teenagers about is drinking and driving. So, um, you know, that's actually a really big problem. And even around here, we have kids die every year from getting in a drunk driving accident. So that's something that you really need to make sure you're not doing, all right? Have you ever done that? Have you ever gotten in the car-",AnnoMI-derived authentic counseling turn,substance-use counseling
1326,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, per night, uh, like if we go out oh, it's a lot. It's like I can drink probably like seven or eight drinks like if I'm going hard. Um, and then, you know, like maybe when I get home from school, a long day at the library, have a beer or two, so.",And what does a few drinks look like? Is that per night? Is it two drinks?,AnnoMI-derived authentic counseling turn,substance-use counseling
1327,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I think if you make a good plan, like I think I'd be able to follow through with it.",Okay. So-,AnnoMI-derived authentic counseling turn,substance-use counseling
1328,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, that's a good idea.","-without any alcohol mixed into it. Um, often, having anything in your hand is a good barrier for people who are trying to offer you alcohol, because you already have something in your hand-",AnnoMI-derived authentic counseling turn,substance-use counseling
1329,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Mm-hmm, so like once or twice a month you're having alcohol?",AnnoMI-derived authentic counseling turn,substance-use counseling
1330,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah. I just don't see it happening.,Mm. So the idea of counseling in your family is for crazy people only and it's looked down upon and the cost would cause a problem too?,AnnoMI-derived authentic counseling turn,substance-use counseling
1331,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,But we haven't always had it-,Uh-huh.,AnnoMI-derived authentic counseling turn,substance-use counseling
1332,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Hmm. Seven?,"Okay. So, there has been a lot of research on alcohol use and the guidelines we use in this country says that having seven or more drinks per week can raise the risk of health problems for women.",AnnoMI-derived authentic counseling turn,substance-use counseling
1333,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Good morning, doctor.","Hi, Jean. I'm Dr. Selby. Nice to meet you.",AnnoMI-derived authentic counseling turn,substance-use counseling
1334,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"And then you know, the next time I see, see progress, or maybe write-- have like a diary or something, I don't know.",Sure.,AnnoMI-derived authentic counseling turn,substance-use counseling
1335,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,My big boy.,"Oh, nice. Okay.",AnnoMI-derived authentic counseling turn,substance-use counseling
1336,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-and my daughter became so frightened that she went next door to our neighbor and called 911 and it really—,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1337,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,It was a lot of fun but I didn't do any dancing after that.,Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
1338,Provide a non-judgmental counseling response to a person struggling with drug use.,"My friends use drugs, and it makes staying sober difficult.","That environment can make recovery harder. Which people or places feel safer for you, and how might you create more distance from situations that increase the urge to use? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - social environment
1339,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, I guess.","Sarah, I'm so glad you came in for your well-woman exam today. I think we addressed a lot of your concerns. However, I would like to ask you more about your smoking. Would that be okay?",AnnoMI-derived authentic counseling turn,substance-use counseling
1340,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-but of course I didn't do either but-,Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
1341,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-and not really thinking about stresses or things like that, but it can be--When it's too much drinking, it can be- can be obviously bad.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1342,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, like drunk driving?","Mm-hmm. And, what about driving?",AnnoMI-derived authentic counseling turn,substance-use counseling
1343,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Through college.,Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
1344,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I'll dedicate the time, not to party and night. Well, not-not-not party, but, you know, get involved with alcohol to that extent. And like, have it publicized on the internet.","-I'm not saying I know what it's like. I-I get that you want to have fun in your teenage years. I get that. But, you know, you are a star player, we want to keep you on the team. You know, we got to figure out a way to get through this.",AnnoMI-derived authentic counseling turn,substance-use counseling
1345,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I smoked when I was young, and I certainly don't want it for her.",So the last thing you'd want is for your daughter to start smoking.,AnnoMI-derived authentic counseling turn,substance-use counseling
1346,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Just, uh, when I- when I go down, uh, for-for a break at work.","Mm-hmm, what sort of stresses?",AnnoMI-derived authentic counseling turn,substance-use counseling
1347,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Mm-hmm, yeah.",You bond other smokers.,AnnoMI-derived authentic counseling turn,substance-use counseling
1348,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"So, I, you know, I wanna be as safe as possible in those terms and be in a setting where like we can let loose but still be safe like in someone's house or sort of my parents will tell me something. But-- So, I- like I know that there are dangers involved and I guess I wanna limit that.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1349,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Okay, whatever. Okay.","Okay. Well, I think you really need to think about this seriously. Like I said, it's really putting yourself and your child in danger.",AnnoMI-derived authentic counseling turn,substance-use counseling
1350,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I drink wine-,"Okay, great. It looks like, um, the way you filled out the alcohol form puts you into our, uh, third zone of drinking. Can you- can you tell me a little bit about your drinking habits, where you drink, what do you like to drink?",AnnoMI-derived authentic counseling turn,substance-use counseling
1351,Use motivational interviewing principles to respond to this substance-use concern.,I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little?",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
1352,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I tried it a couple of times.,"Okay, all right.",AnnoMI-derived authentic counseling turn,substance-use counseling
1353,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I mean, I could at least try to going back to one drink a night instead of two.",Would you be interested in perhaps thinking about setting a goal with respect to your drinking?,AnnoMI-derived authentic counseling turn,substance-use counseling
1354,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, just I guess, at a party or something, someone's house.",Okay. And what sort of situations are you in?,AnnoMI-derived authentic counseling turn,substance-use counseling
1355,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm.,"Yeah. Okay. So, setting this goal then of quitting drinking is gonna be really helpful for you. And um, it sounds like i-it shouldn't be that tough really, um, especially because you can just stop hanging out with-",AnnoMI-derived authentic counseling turn,substance-use counseling
1356,Provide a non-judgmental counseling response to a person struggling with drug use.,I have been using drugs again and I feel like I am losing control.,Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
1357,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Right.,"And the social stigma, because you don't want your daughter to think of you like that, whatever that- that as a smoker, you know. You know there're people who make the assumption and it- it sounds like those are more important to you than the medical things, and who cares why it's important?",AnnoMI-derived authentic counseling turn,substance-use counseling
1358,Respond as a supportive addiction counselor using motivational interviewing.,I am worried about going back to my old environment after treatment.,"Returning to a familiar environment can bring strong reminders and triggers. What people, places, or routines might make recovery harder, and what support could you arrange before returning? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - aftercare
1359,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-and just hang out and things.,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1360,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, some of these kids are just so much more sophisticated than me so I guess when I party with them, I feel like I'm fitting in. I don't know how else to explain it.","Uh, tell me besides helping you relax, what are some positives about pot?",AnnoMI-derived authentic counseling turn,substance-use counseling
1361,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,So it's nice to have like that kind of breather-,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1362,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I mean, I guess, like most people do when they go out they drink.",Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
1363,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Oh really?,"-and what the safe limits are for women is 10 drinks for women a week with about two drinks, uh, per day.",AnnoMI-derived authentic counseling turn,substance-use counseling
1364,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"It doesn't fit, you know. It's the opposite side of the coin. You know, I love to do it, but I don't think it's right.","-um, and on the other hand, I'm hearing you say that smoking is important in terms of stress relief, socializing, and it's something you can't imagine ever changing. How do those two things fit together?",AnnoMI-derived authentic counseling turn,substance-use counseling
1365,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay. Thanks.,Thanks for coming in.,AnnoMI-derived authentic counseling turn,substance-use counseling
1366,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,What do I like about it?,"So, for about six months. I'm curious. What do you like about drinking alcohol?",AnnoMI-derived authentic counseling turn,substance-use counseling
1367,"Give a brief, empathetic counseling response focused on recovery and safety.",I have been using drugs again and I feel like I am losing control.,Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
1368,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I am scared that my drug use is damaging my relationships.,"It sounds like your relationships are very important to you. How has your drug use affected the people you care about, and what change would you most like them to see? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - relationships
1369,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, yeah. Definitely.","Okay. So, it is something you have thought about or something.",AnnoMI-derived authentic counseling turn,substance-use counseling
1370,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,And-and thank you for listening me listening to me. It means a lot to me.,"Yeah. Chris, I really appreciate you talking with me about this. I know it seems like something that's been on your mind as it is and, you know, like I said I really care about you as a student and an athlete and want what's best for you. So I'm glad we were able to talk about this. It really seems like you have a good plan going forward, you know, really striving for not drinking alcohol at all and if you find yourself in a situation where there's alcohol, making sure to have that limit of one drink maximum. It sounds like something that will work for you.",AnnoMI-derived authentic counseling turn,substance-use counseling
1371,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Right.,You were forced to-,AnnoMI-derived authentic counseling turn,substance-use counseling
1372,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"And I've been, yeah, getting into this habit of going out every Friday and Saturday, now, uh, drinking a lot.",Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
1373,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,"All right. So, you're very motivated to change your drinking and you have a plan to keep from drinking more than two drinks at parties and keep from having unprotected sex. I would like to share how it's working for you. What do you think about coming back in six weeks or so?",AnnoMI-derived authentic counseling turn,substance-use counseling
1374,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Right.,Only snort it?,AnnoMI-derived authentic counseling turn,substance-use counseling
1375,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I'm a six because I think if I drink less, I'll be more reliable with using birth control. I tend to not use it when I'm-- I drank too much and I don't really care too much.",Probably a six. Okay. So you're pretty confident that you can do it. And why are you a six and not a two or three?,AnnoMI-derived authentic counseling turn,substance-use counseling
